web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1680016243-800","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-801","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","00:30","Parcialmente cubierto","16°","9 km/h","72%","1017 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-802","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","01:00","Parcialmente cubierto","15°","11 km/h","82%","1017 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-803","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","01:30","Lluvia ligera","16°","24 km/h","72%","1018 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-804","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","02:00","Lluvia ligera","16°","17 km/h","82%","1018 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-805","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","02:30","Parcialmente cubierto","15°","9 km/h","88%","1017 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-806","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","03:00","Parcialmente cubierto","16°","13 km/h","77%","1018 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-807","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","03:30","Parcialmente cubierto","16°","11 km/h","77%","1018 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-808","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","04:30","Parcialmente cubierto","16°","19 km/h","72%","1018 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-809","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","05:00","Parcialmente cubierto","17°","19 km/h","68%","1017 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-810","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","06:00","Parcialmente cubierto","16°","13 km/h","68%","1017 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-811","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","06:30","Parcialmente cubierto","16°","13 km/h","72%","1017 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-812","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","07:00","Parcialmente cubierto","16°","15 km/h","72%","1018 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-813","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","07:30","Parcialmente cubierto","16°","15 km/h","72%","1018 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-814","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","08:00","Parcialmente cubierto","16°","13 km/h","72%","1019 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-815","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","08:30","Parcialmente cubierto","18°","17 km/h","64%","1019 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-816","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","09:00","Nubes dispersas","18°","15 km/h","64%","1019 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-817","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","09:30","Nubes dispersas","19°","19 km/h","60%","1020 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-818","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","10:00","Parcialmente cubierto","20°","20 km/h","56%","1020 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-819","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","10:30","Parcialmente cubierto","20°","22 km/h","56%","1021 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-820","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","11:00","Mayormente cubierto","21°","26 km/h","53%","1021 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-821","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","11:30","Parcialmente cubierto","21°","28 km/h","53%","1021 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-822","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","12:00","Nubes dispersas","22°","28 km/h","50%","1020 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-823","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","12:30","Nubes dispersas","22°","28 km/h","46%","1020 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-824","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","13:00","Nubes dispersas","23°","30 km/h","41%","1020 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-825","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","13:30","Nubes dispersas","23°","28 km/h","44%","1019 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-826","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","14:00","Nubes dispersas","23°","28 km/h","44%","1019 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-827","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","14:30","Nubes dispersas","23°","30 km/h","44%","1019 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-828","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","15:00","Nubes dispersas","22°","33 km/h","50%","1018 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-829","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","15:30","Nubes dispersas","22°","33 km/h","53%","1018 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-830","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","16:00","Nubes dispersas","22°","37 km/h","57%","1018 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-831","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","16:30","Nubes dispersas","21°","39 km/h","60%","1018 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-832","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","17:00","Nubes dispersas","21°","35 km/h","56%","1018 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-833","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","17:30","Nubes dispersas","20°","33 km/h","60%","1018 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-834","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","18:00","Nubes dispersas","20°","28 km/h","60%","1019 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-835","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","18:30","Nubes dispersas","19°","19 km/h","68%","1019 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-836","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","19:00","Nubes dispersas","19°","17 km/h","68%","1020 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-837","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","19:30","Nubes dispersas","18°","19 km/h","68%","1020 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-838","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","20:00","Nubes dispersas","18°","13 km/h","68%","1020 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-839","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","20:30","Nubes dispersas","18°","9 km/h","64%","1020 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-840","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","21:00","Nubes dispersas","17°","7 km/h","68%","1020 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-841","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","21:30","Despejado","17°","7 km/h","72%","1021 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-842","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","22:00","Despejado","17°","9 km/h","72%","1021 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-843","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","22:30","Despejado","17°","4 km/h","72%","1021 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-844","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","23:00","Despejado","17°","7 km/h","72%","1021 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016243-845","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Martes 17 Diciembre 2019","23:30","Despejado","16°","9 km/h","77%","1021 hPa","https://www.tutiempo.net/registros/gclp/17-diciembre-2019.html"
"1680016246-846","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","00:00","Despejado","17°","7 km/h","72%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-847","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-848","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","00:30","Despejado","16°","7 km/h","77%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-849","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","01:00","Despejado","16°","9 km/h","72%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-850","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","01:30","Despejado","16°","11 km/h","77%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-851","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","02:00","Despejado","16°","11 km/h","72%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-852","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","02:30","Despejado","16°","9 km/h","72%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-853","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","03:00","Despejado","16°","11 km/h","72%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-854","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","03:30","Despejado","16°","9 km/h","72%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-855","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","04:00","Despejado","16°","9 km/h","72%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-856","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","04:30","Despejado","16°","11 km/h","72%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-857","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","05:00","Despejado","16°","9 km/h","72%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-858","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","05:30","Despejado","16°","9 km/h","72%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-859","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","06:00","Despejado","16°","9 km/h","72%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-860","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","06:30","Despejado","16°","9 km/h","72%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-861","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","07:00","Nubes dispersas","15°","11 km/h","77%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-862","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","07:30","Nubes dispersas","16°","9 km/h","72%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-863","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","08:00","Nubes dispersas","15°","9 km/h","77%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-864","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","08:30","Nubes dispersas","16°","11 km/h","68%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-865","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","09:00","Nubes dispersas","18°","9 km/h","64%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-866","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","09:30","Nubes dispersas","19°","6 km/h","64%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-867","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","10:00","Nubes dispersas","20°","2 km/h","64%","1023 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-868","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","10:30","Nubes dispersas","20°","9 km/h","64%","1023 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-869","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","11:00","Nubes dispersas","20°","9 km/h","64%","1023 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-870","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","11:30","Nubes dispersas","21°","11 km/h","60%","1023 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-871","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","12:00","Nubes dispersas","21°","13 km/h","64%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-872","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","12:30","Parcialmente cubierto","21°","15 km/h","64%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-873","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","13:00","Parcialmente cubierto","21°","17 km/h","64%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-874","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","13:30","Parcialmente cubierto","21°","15 km/h","64%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-875","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","14:00","Mayormente cubierto","20°","15 km/h","68%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-876","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","14:30","Mayormente cubierto","20°","13 km/h","68%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-877","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","15:00","Mayormente cubierto","20°","13 km/h","73%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-878","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","15:30","Mayormente cubierto","20°","11 km/h","73%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-879","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","16:00","Mayormente cubierto","20°","9 km/h","73%","1020 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-880","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","16:30","Mayormente cubierto","20°","7 km/h","73%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-881","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","17:00","Mayormente cubierto","19°","6 km/h","78%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-882","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","17:30","Mayormente cubierto","20°","6 km/h","73%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-883","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","18:00","Mayormente cubierto","19°","7 km/h","78%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-884","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","18:30","Mayormente cubierto","20°","9 km/h","73%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-885","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","19:00","Mayormente cubierto","20°","13 km/h","73%","1021 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-886","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","19:30","Mayormente cubierto","20°","7 km/h","68%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-887","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","20:00","Mayormente cubierto","20°","2 km/h","68%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-888","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","20:30","Mayormente cubierto","20°","6 km/h","73%","1023 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-889","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","21:00","Mayormente cubierto","19°","6 km/h","78%","1023 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-890","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","21:30","Mayormente cubierto","19°","4 km/h","73%","1023 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-891","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","22:00","Parcialmente cubierto","18°","4 km/h","77%","1022 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-892","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","22:30","Parcialmente cubierto","17°","6 km/h","82%","1023 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-893","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","23:00","Parcialmente cubierto","17°","4 km/h","77%","1023 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016246-894","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Miércoles 18 Diciembre 2019","23:30","Nubes dispersas","17°","7 km/h","82%","1023 hPa","https://www.tutiempo.net/registros/gclp/18-diciembre-2019.html"
"1680016249-895","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","00:00","Nubes dispersas","17°","7 km/h","82%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-896","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","null","null","null","null","null","null","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-897","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","00:30","Nubes dispersas","17°","6 km/h","77%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-898","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","01:00","Nubes dispersas","17°","6 km/h","77%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-899","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","01:30","Nubes dispersas","17°","7 km/h","77%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-900","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","02:00","Parcialmente cubierto","17°","9 km/h","77%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-901","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","02:30","Parcialmente cubierto","16°","7 km/h","82%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-902","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","03:00","Parcialmente cubierto","16°","9 km/h","82%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-903","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","03:30","Nubes dispersas","16°","7 km/h","82%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-904","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","04:00","Nubes dispersas","16°","6 km/h","77%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-905","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","04:30","Nubes dispersas","15°","En calma","82%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-906","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","05:00","Nubes dispersas","15°","4 km/h","82%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-907","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","05:30","Nubes dispersas","15°","4 km/h","82%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-908","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","06:00","Nubes dispersas","16°","4 km/h","82%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-909","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","06:30","Parcialmente cubierto","15°","4 km/h","82%","1021 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-910","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","07:00","Parcialmente cubierto","16°","13 km/h","77%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-911","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","07:30","Parcialmente cubierto","16°","6 km/h","77%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-912","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","08:00","Nubes dispersas","15°","6 km/h","82%","1022 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-913","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","08:30","Nubes dispersas","16°","2 km/h","77%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-914","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","09:00","Nubes dispersas","17°","4 km/h","77%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-915","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","09:30","Nubes dispersas","19°","2 km/h","68%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
"1680016249-916","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Jueves 19 Diciembre 2019","10:00","Nubes dispersas","19°","6 km/h","68%","1023 hPa","https://www.tutiempo.net/registros/gclp/19-diciembre-2019.html"
